Name,Company Domain Name,City,State/Region,Country/Region,Industry,Description,Annual Revenue,Number of Employees,Client Tier,Industry Tier,Ownership Type,Founding Year,World Market Leader,Pipeline Priority Score,In Pipeline,Already in DB,Data Completeness %,Source Lists,Source Count,Target Contact Role
Eye Security,eye.security,The Hague,Zuid-Holland,Netherlands,Cybersecurity,Protects European SMEs from cyber threats with endpoint monitoring and 24/7 response.,20000000,100,5,tier1,Private (VC-backed),2020,No,55,False,False,100,NL_IT_Software,1,CEO / Managing Director
Thinkwise,thinkwisesoftware.com,Apeldoorn,Gelderland,Netherlands,Enterprise Software / Low-Code ERP,Only vendor globally with a low-code platform for custom ERP. 32+ countries.,20000000,143,5,tier1,Private (founder-led),2002,No,55,False,False,100,NL_IT_Software,1,CEO / Managing Director
Nearfield Instruments,nearfieldinstruments.com,Rotterdam,Zuid-Holland,Netherlands,Semiconductor Metrology,Advanced metrology and inspection for semiconductor industry. Deloitte Fast 50 Deep-Tech.,10000000,50,5,tier1,Private (VC-backed),2016,No,55,False,False,100,NL_IT_Software,1,CEO / Managing Director
Bekaert,bekaert.com,Zwevegem,Flanders,Belgium,Steel Wire & Coatings,"Global leader in steel wire transformation and coatings for construction, automotive, energy.",5100000000,28000,1,tier1,Public (Euronext),1880,No,55,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Umicore,umicore.com,Brussels,Brussels,Belgium,Materials Technology & Recycling,"Global materials technology and recycling group for catalysis, energy, precious metals.",3600000000,11000,1,tier1,Public (Euronext),1805,No,55,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Solvay (Syensqo),solvay.com,Brussels,Brussels,Belgium,Specialty Chemicals,Major specialty chemicals group producing polymers and advanced materials.,5200000000,22000,1,tier1,Public (Euronext),1863,No,55,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Etex,etex.com,Zaventem,Flanders,Belgium,Building Materials,"Global manufacturer of lightweight building materials: fibre cement, plasterboard, insulation.",3808000000,13777,1,tier1,Family-owned,1905,No,55,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Tessenderlo Group,tessenderlo.com,Brussels,Brussels,Belgium,Diversified Chemicals & Industrial,"Diversified industrial group: agro, industrial solutions, bio-valorization, machinery (Picanol).",2900000000,7231,1,tier1,Public (Euronext),1919,No,55,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
John Cockerill,johncockerill.com,Seraing,Wallonia,Belgium,Industrial Engineering & Defense,"Walloon industrial engineering: machinery for steel plants, boilers, defense, energy.",1200000000,4600,1,tier1,Private,1817,No,55,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Sonaca,sonaca.com,Gosselies,Wallonia,Belgium,Aerospace Structures,Aerospace company specializing in advanced aerostructures and wing components.,633700000,3861,1,tier1,SRIW-owned,1931,No,55,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
DEME Group,deme-group.com,Zwijndrecht,Flanders,Belgium,Dredging & Offshore Energy,"International marine engineering: dredging, offshore wind, environmental remediation.",4100000000,5822,1,tier1,Subsidiary (Ackermans & van Haaren),1991,No,55,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Jan De Nul Group,jandenul.com,Aalst,Flanders,Belgium,Dredging & Offshore Energy,"Family-owned dredging and marine engineering. Offshore wind installation, land reclamation.",2900000000,7491,1,tier1,Family-owned,1938,No,55,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Sibelco,sibelco.com,Antwerp,Flanders,Belgium,Industrial Minerals,"Global specialist in industrial minerals: silica, clays, recycled glass.",3000000000,5000,1,tier1,Private,1872,No,55,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
AGC Glass Europe,agc-glass.eu,Louvain-la-Neuve,Wallonia,Belgium,Flat Glass Manufacturing,"European branch producing flat glass for construction, automotive, solar. 18 float glass lines.",3000000000,14500,1,tier1,Subsidiary (AGC Inc.),1961,No,55,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Reynaers Aluminium,reynaers.com,Duffel,Flanders,Belgium,Aluminium Building Systems,"European leader in aluminium and steel building components for windows, doors, facades.",703000000,2650,1,tier1,Family-owned,1965,No,55,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Smulders,smulders.com,Hoboken,Flanders,Belgium,Steel Construction / Offshore Wind,European market leader in steel structures for offshore wind foundations and bridges.,500000000,2000,1,tier1,Subsidiary (Eiffage),1966,No,55,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Ontex Group,ontex.com,Aalst,Flanders,Belgium,Hygiene Products Manufacturing,Major European manufacturer of disposable personal hygiene products for B2B.,2200000000,7000,1,tier1,Public (Euronext),1979,No,55,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Nyrstar,nyrstar.com,Balen,Flanders,Belgium,Zinc Smelting & Metal Processing,One of the world's largest zinc smelters producing SHG zinc and ZAMAK alloys.,3000000000,4000,1,tier1,Subsidiary (Trafigura),1888,No,55,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Cegeka,cegeka.com,Hasselt,Limburg,Belgium,IT Services / Cloud / Managed Services,"Full-service ICT provider: cloud, security, managed infrastructure. 17 countries.",1300000000,10000,1,tier1,Family-owned,1992,No,55,False,False,100,BE_IT_Luxembourg,1,Head of Sales / VP Sales
Cronos Group,cronos-groep.be,Kontich,Antwerp,Belgium,IT Services / Software,Belgium's largest technology group: 500+ specialized companies in IT and digital.,1600000000,9000,1,tier1,Private (cooperative),1991,No,55,False,False,100,BE_IT_Luxembourg,1,Head of Sales / VP Sales
NRB Group,nrb.be,Herstal,Liege,Belgium,IT Infrastructure / Cloud,"Major Belgian ICT player: consultancy, software, infrastructure, cloud services.",638000000,3670,1,tier1,Private (Ethias/Nethys),1987,No,55,False,False,100,BE_IT_Luxembourg,1,Head of Sales / VP Sales
team.blue,team.blue,Ghent,East Flanders,Belgium,Cloud Hosting / Digital Services,"European digital enablement platform: 3.3M SMB customers, 10.6M domains.",850000000,4000,1,tier1,PE-backed (Hg Capital),2019,No,55,False,False,100,BE_IT_Luxembourg,1,Head of Sales / VP Sales
ArcelorMittal,arcelormittal.com,Luxembourg City,Luxembourg,Luxembourg,Steel Manufacturing,World's second-largest steel producer. 9 industrial sites in Luxembourg.,60000000000,3520,1,tier1,Public (Euronext),2006,No,55,False,False,100,BE_IT_Luxembourg,1,Head of Sales / VP Sales
Aperam,aperam.com,Luxembourg City,Luxembourg,Luxembourg,Stainless & Specialty Steel,Global stainless and specialty steel. Spun off from ArcelorMittal 2011.,6500000000,11700,1,tier1,Public (Euronext),2011,No,55,False,False,100,BE_IT_Luxembourg,1,Head of Sales / VP Sales
SES,ses.com,Betzdorf,Luxembourg,Luxembourg,Satellite Telecommunications,Global satellite operator providing video and data connectivity via GEO/MEO constellation.,2001000000,2118,1,tier1,Public (Euronext),1985,No,55,False,False,100,BE_IT_Luxembourg,1,Head of Sales / VP Sales
ConstruSteel,construsteel.com,Den Ham,Overijssel,Netherlands,Software / Construction Tech,Market leader in Europe for specialized ERP/MRP software for steel construction.,10000000,30,5,tier1,Private,2000,No,55,False,False,100,Rankings,1,CEO / Managing Director
Nmbrs,nmbrs.com,Amsterdam,Noord-Holland,Netherlands,Software / HR & Payroll,"Cloud-native HR and payroll software. 100,000+ companies. Part of Visma.",25000000,120,5,tier1,Subsidiary (Visma),2008,No,55,False,False,100,Rankings,1,CEO / Managing Director
Berdal,berdal.com,Vaassen,Gelderland,Netherlands,Rubber & Plastics Manufacturing,European market leader in plastic and rubber products for construction.,30000000,100,5,tier1,Private,1945,No,55,False,False,100,Rankings,1,CEO / Managing Director
Prowise,prowise.com,Budel,Noord-Brabant,Netherlands,EdTech / Hardware Manufacturing,Interactive touchscreen displays and educational software. Made in Europe. 24+ countries.,60000000,162,5,tier1,Private (founder-led),2013,No,55,False,False,100,Rankings,1,CEO / Managing Director
Baril Coatings,barilcoatings.com,Dieren,Gelderland,Netherlands,Chemical Manufacturing / Coatings,Sustainable paint/coatings replacing fossil raw materials.,10000000,50,5,tier1,Private,1999,No,55,False,False,100,Rankings,1,CEO / Managing Director
BENGglas,bengglas.nl,Beilen,Drenthe,Netherlands,Glass Manufacturing / Construction,Vacuum insulation glass manufacturer. FD Gazellen 2025 Top 5.,10000000,50,5,tier1,Private,2016,No,55,False,False,100,Rankings,1,CEO / Managing Director
TVH Group,tvh.com,Waregem,Flanders,Belgium,Material Handling & Industrial Parts,One of world's largest distributors of replacement parts for material handling.,2000000000,5500,1,tier1,Family-owned,1969,No,55,False,False,100,Wholesale_Associations,1,Head of Sales / VP Sales
Azelis,azelis.com,Antwerp,Flanders,Belgium,Specialty Chemicals Distribution,Global distributor of food ingredients and specialty chemicals. 63 countries.,4200000000,4300,1,tier1,Public (Euronext),1996,No,55,False,False,100,Wholesale_Associations,1,Head of Sales / VP Sales
TKH Group,tkhgroup.com,Haaksbergen,Overijssel,Netherlands,Technology / Smart Vision / Connectivity,"Smart Vision, Smart Manufacturing (tire building via VMI), Smart Connectivity (fiber optic).",1900000000,6000,1,unknown,Public (Euronext),1930,Yes - via VMI in tire building machinery,50,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Mammoet,mammoet.com,Schiedam,Zuid-Holland,Netherlands,Heavy Lifting / Engineered Transport,World's largest engineered heavy-lifting and transport company.,5000000000,7000,1,unknown,Private (SHV Holdings),1971,Yes - world's largest heavy lift and transport company,50,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Signify,signify.com,Eindhoven,Noord-Brabant,Netherlands,Lighting Technology / IoT,World leader in lighting. Connected lighting systems with Philips and Interact brands.,6700000000,10000,1,unknown,Public (Euronext),1891,Yes - world leader in lighting,50,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Mollie,mollie.com,Amsterdam,Noord-Holland,Netherlands,Fintech / B2B Payments,"B2B payments platform serving 250,000+ businesses with online payment processing.",120000000,900,3,unknown,PE-backed (unicorn),2004,No,50,False,False,100,NL_IT_Software,1,Head of Sales / VP Sales
Nedap,nedap.com,Groenlo,Gelderland,Netherlands,Technology / Security & IoT,"Technology company: security management, healthcare, retail RFID, staffing. Listed since 1947.",262000000,900,3,unknown,Public (Euronext),1929,No,50,False,False,100,NL_IT_Software,1,Head of Sales / VP Sales
TechWolf,techwolf.ai,Ghent,East Flanders,Belgium,AI / Workforce Intelligence / SaaS,"AI talent intelligence platform. $55M raised. Clients: United Airlines, IQVIA.",30000000,80,5,tier1,Private (VC-backed),2018,No,50,False,False,100,BE_IT_Luxembourg,1,CEO / Managing Director
Guardsquare,guardsquare.com,Leuven,Flemish Brabant,Belgium,Cybersecurity / Mobile App Security,Leading mobile application security platform. KU Leuven spin-off.,20000000,150,5,tier1,Private (VC-backed),2014,No,50,False,False,100,BE_IT_Luxembourg,1,CEO / Managing Director
Intigriti,intigriti.com,Antwerp,Antwerp,Belgium,Cybersecurity / Bug Bounty,Crowdsourced cybersecurity platform connecting businesses with ethical hackers.,15000000,100,5,tier1,Private (VC-backed),2016,No,50,False,False,100,BE_IT_Luxembourg,1,CEO / Managing Director
BrightAnalytics,brightanalytics.eu,Roeselare,West Flanders,Belgium,Financial Reporting Software / SaaS,"Consolidated financial and operational reporting platform. 1,000+ clients.",5000000,50,5,tier1,Private,2014,No,50,False,False,100,BE_IT_Luxembourg,1,CEO / Managing Director
Azumuta,azumuta.com,Ghent,East Flanders,Belgium,Manufacturing Software / SaaS,"Connected worker platform for manufacturing: digital work instructions, quality.",5000000,50,5,tier1,Private (VC-backed),2020,No,50,False,False,100,BE_IT_Luxembourg,1,CEO / Managing Director
Xeryon,xeryon.com,Leuven,Flemish Brabant,Belgium,Precision Motion / Manufacturing,World's smallest and fastest piezo motors. KU Leuven spin-off.,10000000,50,5,tier1,Private,2013,No,50,False,False,100,BE_IT_Luxembourg,1,CEO / Managing Director
Vertuoza,vertuoza.com,Nivelles,Walloon Brabant,Belgium,Construction Software / SaaS,Construction management platform. EUR 1.6B invoiced through platform.,10000000,50,5,tier1,Private (VC-backed),2018,No,50,False,False,100,BE_IT_Luxembourg,1,CEO / Managing Director
OTIV,otiv.ai,Ghent,East Flanders,Belgium,AI / Rail Automation,AI-powered autonomous train solutions. Deloitte Fast 50 BE 2025 winner.,10000000,30,5,tier1,Private (VC-backed),2020,No,50,False,False,100,BE_IT_Luxembourg,1,CEO / Managing Director
LuxTrust,luxtrust.com,Luxembourg City,Luxembourg,Luxembourg,Digital Trust / Cybersecurity,"eIDAS-qualified trust service provider for digital signatures, eID, compliance.",25000000,100,5,tier1,Public-Private,2005,No,50,False,False,100,BE_IT_Luxembourg,1,CEO / Managing Director
Iscal Sugar,iscal.be,Fontenoy,Wallonia,Belgium,Food Manufacturing,World's first B Corp certified sugar company. Industrial and wholesale customers.,116000000,170,5,tier1,Private,2003,No,50,False,False,100,Rankings,1,CEO / Managing Director
Munckhof,munckhof.nl,Horst,Limburg,Netherlands,Mobility Services / Transport,Mobility and travel management company. Best Managed for 12 consecutive years.,100000000,500,3,unknown,Private,1925,No,50,False,False,100,Rankings,1,Head of Sales / VP Sales
Kramp Groep,kramp.com,Varsseveld,Gelderland,Netherlands,Agricultural Parts Wholesale,Europe's largest specialist in spare parts for agricultural industry.,650000000,3500,1,tier2,PE-backed (NPM Capital),1951,No,50,False,False,100,Wholesale_Associations,1,Head of Sales / VP Sales
Fastned,fastned.nl,Amsterdam,Noord-Holland,Netherlands,EV Charging Infrastructure,Builds and operates fast-charging stations across Europe with 100% renewable energy.,60000000,300,4,unknown,Public (Euronext),2012,No,45,False,False,100,NL_IT_Software,1,CEO / Managing Director
Magotteaux,magotteaux.com,Vaux-sous-Chevremont,Wallonia,Belgium,Wear Solutions for Mining & Cement,World leader in grinding media and wear-resistant solutions for mining and cement.,750000000,2800,1,unknown,Subsidiary (Sigdo Koppers),1920,Yes - world leader in grinding media,45,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
EVS Broadcast Equipment,evs.com,Seraing,Wallonia,Belgium,Broadcast Video Technology,Leading manufacturer of live video production hardware and software worldwide.,209000000,729,3,unknown,Public (Euronext),1994,No,45,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Kabelwerk Eupen,eupen.com,Eupen,Wallonia,Belgium,Cables Pipes & Foams,"European manufacturer of power cables, communication cables, plastic pipes, synthetic foams.",230800000,800,3,unknown,Private,1747,No,45,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Easyfairs,easyfairs.com,Ghent,Flanders,Belgium,B2B Events & Exhibitions,Largest privately owned pan-European event company. 200+ events in 14 countries.,194000000,700,3,unknown,Private,1994,No,45,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Televic Group,televic.com,Izegem,West Flanders,Belgium,Communication Technology (B2B),"High-end communication technology for conference, education, healthcare, rail.",220000000,900,3,unknown,Family-owned,1946,No,45,False,False,100,BE_IT_Luxembourg,1,Head of Sales / VP Sales
Royal Ingredients Group,royal-ingredients.com,Alkmaar,Noord-Holland,Netherlands,Food Ingredients Distribution,"Global supplier: starches, proteins, fibers, sweeteners. 500+ customers in 50+ countries.",50000000,77,5,tier2,Private,2007,No,45,False,False,100,Wholesale_Associations,1,CEO / Managing Director
Kendrion,kendrion.com,Amsterdam,Noord-Holland,Netherlands,Electromagnetic Actuators,"Designs electromagnetic actuators for wind turbines, robots, EVs, factory automation.",460000000,2500,2,unknown,Public (Euronext),1859,No,40,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
B-CLOSE,b-close.be,Brussels,Brussels,Belgium,Forklift & Material Handling,Largest independent Belgian distributor of A-brand forklifts.,50000000,200,4,unknown,Private,0,No,40,False,False,90,Wholesale_Associations,1,CEO / Managing Director
Strukton,strukton.com,Utrecht,Utrecht,Netherlands,Rail Infrastructure / Civil Engineering,"Design, construction and maintenance of rail systems and civil infrastructure.",500000000,2500,1,unknown,Private,1921,No,35,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Hoppenbrouwers Techniek,hoppenbrouwers.nl,Udenhout,Noord-Brabant,Netherlands,Technical Services / Installation,Royal technical service provider for electrical and mechanical engineering. 100+ years.,500000000,3000,1,unknown,Private,1918,No,35,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Adyen,adyen.com,Amsterdam,Noord-Holland,Netherlands,Fintech / Payments Infrastructure,Global payment platform enabling businesses to accept payments across all channels.,1996000000,4350,1,unknown,Public (Euronext),2006,No,35,False,False,100,NL_IT_Software,1,Head of Sales / VP Sales
TomTom,tomtom.com,Amsterdam,Noord-Holland,Netherlands,B2B Location Technology / Mapping,B2B location technology: maps and navigation for automotive OEMs. Microsoft and Uber client.,574000000,3500,1,unknown,Public (Euronext),1991,No,35,False,False,100,NL_IT_Software,1,Head of Sales / VP Sales
Prayon,prayon.com,Engis,Wallonia,Belgium,Phosphate Chemistry,"Global player in phosphorus chemistry for food, industrial, agricultural use.",659500000,1500,2,unknown,JV (OCP / SRIW),1882,No,35,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Plastiflex Group,plastiflex.com,Beringen,Flanders,Belgium,Flexible Tubing Systems,Global market leader in customized flexible tubing for healthcare and industrial.,200000000,1100,2,unknown,PE-backed (IK Partners),1953,No,35,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Rotarex,rotarex.com,Lintgen,Luxembourg,Luxembourg,Gas Control Equipment,Global designer/manufacturer of premium gas control products. 100+ years.,400000000,1400,2,unknown,Family-owned,1922,No,35,False,False,100,BE_IT_Luxembourg,1,Head of Sales / VP Sales
Qblox,qblox.com,Delft,Zuid-Holland,Netherlands,Quantum Computing Hardware,Global leader in scalable quantum control stacks.,10000000,50,5,unknown,Private (VC-backed),2018,No,30,False,False,100,NL_IT_Software,1,CEO / Managing Director
Aliaxis,aliaxis.com,Brussels,Brussels,Belgium,Plastic Piping Systems,Global leader in advanced plastic piping systems for building and infrastructure.,4100000000,14000,1,unknown,Private,1969,No,30,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Soudal,soudalgroup.com,Turnhout,Flanders,Belgium,Sealants & Adhesives,"Largest independent European manufacturer of sealants, adhesives, and PU foams.",1460000000,4500,1,unknown,Family-owned,1966,No,30,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Barco,barco.com,Kortrijk,Flanders,Belgium,Visualization & Display Technology,"Digital projection, visualization, and collaboration for enterprise, entertainment, healthcare.",947000000,3600,1,unknown,Public (Euronext),1934,No,30,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Puratos,puratos.com,Groot-Bijgaarden,Brussels,Belgium,B2B Food Ingredients,"International B2B supplier of bakery, patisserie, and chocolate ingredients. 100+ countries.",2500000000,10000,1,unknown,Family-owned,1919,No,30,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Agfa-Gevaert,agfa.com,Mortsel,Flanders,Belgium,Imaging & IT Solutions,"Digital imaging, IT systems for printing, healthcare, and industrial applications.",1300000000,7000,1,unknown,Public (Euronext),1867,No,30,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Deceuninck,deceuninck.com,Hooglede-Gits,Flanders,Belgium,PVC Building Systems,"Top 3 independent manufacturer of PVC profiles for windows, doors, building.",857000000,3686,1,unknown,Public (Euronext),1937,No,30,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Lhoist,lhoist.com,Limelette,Wallonia,Belgium,Lime & Minerals,"World's leading producers of lime, dolime, and mineral solutions.",2500000000,6650,1,unknown,Family-owned,1889,No,30,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Vandemoortele,vandemoortele.com,Ghent,Flanders,Belgium,B2B Food Solutions,"Family-owned B2B food company: bakery products, margarines, plant-based food solutions.",2000000000,4094,1,unknown,Family-owned,1899,No,30,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Unilin,unilin.com,Wielsbeke,Flanders,Belgium,Flooring & Wood Panels,"Flooring, insulation, wood panels. Brands: Quick-Step, Moduleo, Pergo. 105 locations.",2600000000,7800,1,unknown,Subsidiary (Mohawk),1960,No,30,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Ceratizit,ceratizit.com,Mamer,Luxembourg,Luxembourg,Hard Materials / Cutting Tools,Leading industrial group in hard material cutting tools and wear protection.,800000000,7000,1,unknown,Private (Plansee Group),1931,No,30,False,False,100,BE_IT_Luxembourg,1,Head of Sales / VP Sales
